1 Liga
Scottish Premiership Abstiegsrunde
Second Division
Segunda División
Serie A
Serie A Segunda Etapa
Serie B
Serie C - A
Serie C - B
Serie C - C
Serie D - A
Serie D - B
Serie D - C
Serie D - D
Serie D - E
Serie D - F
Serie D - G
Serie D - H
Serie D - I
Stars League
Super League
Super League 1
Super League 2
Super League K19
Super liga Srbije
Superettan
Superliga
Superligaen
Superligaen Abstiegsr.
Superligaen Championship round
Swiss U18 Elite League
Série A
Série B
Süper Lig
Telekom 1. CFL
Thai League
Thüringenliga
Tiroler Liga
Torneo Apertura
Torneo Clausura
Torneo Intermedio
Torneo Águila
Türkiye Ligi U19 Elit A
U18 Premier League
U19 Allsvenskan Norra
U19 Allsvenskan Södra
U19 Boys Division
U19 Boys League
U19 Eerste Divisie
U19-Bundesliga Nord/Nordost
U19-Bundesliga Süd/Südwest
U19-Bundesliga West
U20 Premier Liga
U21 Allsvenskan Norra
U21 Süper Lig
UAE Gulf League
USL1
USLC
Under 17 - C
V.League 1
VL Hessen-Mitte
VL Hessen/N
VL Nordbaden
VL Südbaden
VL Württemberg
Veikkausliiga
Verbandsliga Hes/S
Verbandsliga MV
Virsliga
Vorarlbergliga
Vtora Liga
Vysheyshaya Liga
Westfalenliga 1
Wiener Stadtliga
Ykkönen
efbet Liga
